State,City,Year,SO2,NO2,PM2_5,AQI,Lat,Long
Uttar Pradesh,LUCKNOW,1989,15.76617679,40.11323149,81.58293408,217,26.839281,80.923133
Himachal Pradesh,SHIMLA,1989,5.61,36.53,89.74122749,239,31.104423,77.166623
Karnataka,MYSORE,1989,36.12,36.47,130.5326945,348,12.292664,76.638543
Bihar,JHARIA,1989,27.27588286,34.71,44.87061374,119,23.76,86.42
Madhya Pradesh,NAGDA,1989,51.5,46.6625,132.5722679,353,23.46,75.42
Delhi,DELHI,1990,123.1833333,228.8333333,333.1303142,888,28.651952,77.231495
Uttar Pradesh,GAJROULA,1990,74.62222222,70.65555556,63.45339317,169,28.8382,78.2422
Kerala,COCHIN,1990,45.64166667,93.34166667,265.1445357,707,9.9312,76.2673
Bihar,SINDRI,1990,25.94166667,42.69166667,40.79146704,108,23.7483,86.7059
Uttar Pradesh,ANPARA,1990,67.1,64.375,74.78435624,199,24.2049,82.7832
Tamil Nadu,TURICORIN,1990,19.05454545,8.6,40.79146704,108,8.7642,78.1348
Goa,VASCO,1990,6.283333333,9.55,40.79146704,108,15.3982,73.8113
Gujarat,BARODA,1990,47.52727273,65.16363636,203.9573352,544,22.3072,73.1812
Odisha,ANGUL,1990,7.288888889,16.38312383,40.79146704,108,20.8444,85.1511
Himachal Pradesh,PAONTASAHIB,1990,9.856373827,22.28333333,67.9857784,181,30.4453,77.6021
Puducherry,PONDICHERY,1990,29.95454545,47.90909091,122.3744011,326,11.9416,79.8083
Bihar,JAMSHEDPUR,1990,221.46,119.48,163.1658682,435,22.802776,86.185448
Maharashtra,MUMBAI,1990,106.0333333,77.50833333,108.7772454,290,18.987807,72.836447
Gujarat,SURAT,1990,100.9916667,158.0333333,163.1658682,435,21.195944,72.830232
Madhya Pradesh,BHILAI,1990,100.9388286,94.44,163.1658682,435,21.209188,81.428497
Uttar Pradesh,KANPUR,1990,37.55721948,60.45542026,215.0822808,573,26.466667,80.35
West Bengal,HOWRAH,1990,191.3240202,260.1607391,159.7665793,426,22.589167,88.310278
Karnataka,BANGALORE,1990,90.95245119,57.10080191,200.5580463,535,12.983333,77.583333
Maharashtra,NAGPUR,1990,68.8,159.55,278.7416914,743,23.3,82.3
Madhya Pradesh,SATNA,1990,40.00588576,50.2794972,81.58293408,217,24.583333,80.833333
Himachal Pradesh,PARWANOO,1990,7.054902387,18.50833333,67.9857784,181,30.8406,76.9584
Bihar,DHANBAD,1990,61.96666667,86.54166667,81.58293408,217,23.801988,86.443244
Uttar Pradesh,DEHRADOON,1990,53.83636364,48.58181818,81.58293408,217,30.3165,78.0322
Madhya Pradesh,INDORE,1990,48,67.16666667,149.5687125,399,22.717736,75.85859
Bihar,JHARIA,1990,26.575,42.675,40.79146704,108,23.76,86.42
West Bengal,CALCUTTA,1990,85.53333333,81.71666667,115.5758233,308,22.57,88.36
Madhya Pradesh,BHOPAL,1990,60.7,93.35,142.7701347,380,23.254688,77.402892
Tamil Nadu,MADRAS,1990,139.3583333,161.4833333,309.3352917,825,13.09,80.27
Karnataka,MYSORE,1990,59.09090909,29.75454545,118.6660859,316,12.292664,76.638543
Haryana,FARIDABAD,1990,61.51666667,20.4,81.58293408,217,28.411236,77.313162
Punjab,LUDHIANA,1990,67.98823934,162.6166667,159.7665793,426,30.912042,75.853789
Uttar Pradesh,LUCKNOW,1990,10.82941432,25.8096229,40.79146704,108,26.839281,80.923133
Himachal Pradesh,SHIMLA,1990,6.616666667,35.19166667,81.58293408,217,31.104423,77.166623
Madhya Pradesh,NAGDA,1990,31.83,57.29,122.3744011,326,23.46,75.42
Rajasthan,KOTA,1990,76.48333333,409.6166667,203.9573352,544,25.182544,75.839065
Rajasthan,JAIPUR,1990,17.58333333,41.33333333,122.3744011,326,26.913312,75.787872
Odisha,TALCHER,1990,13.15424922,26.90855369,54.38862272,145,20.95,85.23
Chandigarh,CHANDIGARH,1990,19.35,32.16666667,115.5758233,308,30.736292,76.788398
Gujarat,AHMEDABAD,1990,145.7691179,185.5091352,309.3352917,825,23.025793,72.587265
Uttar Pradesh,AGRA,1990,57.73636364,31.51818182,107.5411404,286,27.187935,78.003944
West Bengal,HALDIA,1990,27.52156905,78.58493715,67.9857784,181,22.025278,88.058333
Andhra Pradesh,HYDERABAD,1990,25.72,44.36,118.2952544,315,17.384052,78.456355
Maharashtra,PUNE,1990,57.01,148.09,163.1658682,435,18.513271,73.849852
Haryana,YAMUNANAGAR,1991,10.82941432,25.8096229,40.79146704,108,30.14,77.28
Madhya Pradesh,SATNA,1991,21.38104604,21.44444444,63.45339317,169,24.583333,80.833333
Uttar Pradesh,KANPUR,1991,55.4,79.475,241.3495133,643,26.466667,80.35
Karnataka,BANGALORE,1991,72.825,43.6375,152.9680014,408,12.983333,77.583333
Punjab,JALANDHAR,1991,63.62941432,165.8096229,122.3744011,326,23.9,78.433333
Kerala,KOZHIKODE,1991,16.41838395,43.01370286,81.58293408,217,11.25,75.766667
Madhya Pradesh,NAGDA,1991,44.66666667,73.64444444,122.3744011,326,23.46,75.42
Kerala,KOTTAYAM,1991,1.9875,36.3375,40.79146704,108,9.6,76.52
Gujarat,VAPI,1991,73.84285714,54.07142857,75.75558165,202,20.37,72.9
Maharashtra,NAGPUR,1991,57.53333333,108.9666667,268.5438247,716,23.3,82.3
West Bengal,CALCUTTA,1991,175.675,112.1416667,115.5758233,308,22.57,88.36
Gujarat,BARODA,1991,69.13333333,101.3888889,203.9573352,544,22.3072,73.1812
Himachal Pradesh,PAONTASAHIB,1991,9.657755869,16.17272727,81.58293408,217,30.4453,77.6021
Puducherry,PONDICHERY,1991,29.09,34.83,122.3744011,326,11.9416,79.8083
Tamil Nadu,TURICORIN,1991,14.88181818,10.02727273,40.79146704,108,8.7642,78.1348
Uttar Pradesh,GAJROULA,1991,105.98,103.6,40.79146704,108,28.8382,78.2422
Uttar Pradesh,DEHRADOON,1991,49.91818182,45.59615795,81.58293408,217,30.3165,78.0322
Bihar,SINDRI,1991,37.85,46.65833333,40.79146704,108,23.7483,86.7059
Kerala,TRIVENDRUM,1991,15.6,35.41428571,163.1658682,435,8.5241,76.9366
Uttar Pradesh,ANPARA,1991,74.66209207,73.82436064,72.51816363,193,24.2049,82.7832
Goa,VASCO,1991,6.541666667,9.859135242,40.79146704,108,15.3982,73.8113
Odisha,ANGUL,1991,11.09706074,25.8096229,40.79146704,108,20.8444,85.1511
Kerala,KOTTTAYAM,1991,4.359804773,21.38654097,40.79146704,108,9.5916,76.5222
Himachal Pradesh,PARWANOO,1991,11.67941432,84.75833333,81.58293408,217,30.8406,76.9584
Tamil Nadu,MADRAS,1991,99.11666667,143.5333333,305.9360028,816,13.09,80.27
Kerala,COCHIN,1991,47.69166667,109.4333333,312.7345806,834,9.9312,76.2673
Bihar,JHARIA,1991,41.7,50.86666667,40.79146704,108,23.76,86.42
West Bengal,HOWRAH,1991,203.61,306.14,163.1658682,435,22.589167,88.310278
Karnataka,MYSORE,1991,39.69090909,53.23636364,114.9577707,306,12.292664,76.638543
Uttar Pradesh,LUCKNOW,1991,9.02206074,25.8096229,40.79146704,108,26.839281,80.923133
Madhya Pradesh,JABALPUR,1991,5.4,17.83333333,40.79146704,108,23.174495,79.935903
Uttar Pradesh,AGRA,1991,41.54656905,29.67660382,95.18008975,253,27.187935,78.003944
Madhya Pradesh,INDORE,1991,72.48888889,103.0444444,163.1658682,435,22.717736,75.85859
Meghalaya,SHILLONG,1991,6.227451193,30.30913524,81.58293408,217,25.573987,91.896807
Tamil Nadu,TUTICORIN,1991,17.11470716,30.00481145,81.58293407,217,8.805038,78.151884
Rajasthan,KOTA,1991,65.94166667,363.8,190.3601795,507,25.182544,75.839065
Odisha,TALCHER,1991,17.77573753,35.48823149,56.08826718,149,20.95,85.23
Gujarat,SURAT,1991,73.44,86.04,150.9284281,402,21.195944,72.830232
Rajasthan,JAIPUR,1991,24.38181818,45.6,122.3744011,326,26.913312,75.787872
Madhya Pradesh,BHILAI,1991,67.98889372,112.2222222,158.633483,423,21.209188,81.428497
Madhya Pradesh,BHOPAL,1991,42.08627621,41.59209652,163.1658682,435,23.254688,77.402892
Andhra Pradesh,HYDERABAD,1991,32.43333333,56.48333333,122.3744011,326,17.384052,78.456355
Delhi,DELHI,1991,172.5833333,292.2166667,356.9253366,952,28.651952,77.231495
Gujarat,AHMEDABAD,1991,172.4083333,191.7083333,292.3388471,779,23.025793,72.587265
Maharashtra,PUNE,1991,61.95882381,137.2899581,149.5687125,399,18.513271,73.849852
Himachal Pradesh,SHIMLA,1991,9.81323572,25.4,81.58293408,217,31.104423,77.166623
Chandigarh,CHANDIGARH,1991,23.59118005,48.54347206,93.82037419,250,30.736292,76.788398
Bihar,JAMSHEDPUR,1991,92.84412148,77.23943435,101.9786676,272,22.802776,86.185448
Punjab,LUDHIANA,1991,82.53333333,190.5333333,163.1658682,435,30.912042,75.853789
West Bengal,HALDIA,1991,27.37142857,91.2,75.75558165,202,22.025278,88.058333
Haryana,FARIDABAD,1991,39.38333333,11.4,47.59004488,126,28.411236,77.313162
Maharashtra,MUMBAI,1991,73.74166667,82.05833333,122.3744011,326,18.987807,72.836447
Assam,GUWAHATI,1991,24.53333333,38.975,78.18364516,208,26.176076,91.762932
Uttar Pradesh,VARANASI,1991,26.85490239,39.73493715,50.9893338,136,25.31774,83.005811
Bihar,DHANBAD,1991,82.30833333,95.05833333,81.58293408,217,23.801988,86.443244
Bihar,PATNA,1991,17.0125,24.65,56.08826718,149,25.615379,85.101027
Maharashtra,MUMBAI,1992,55.18333333,97.95,122.3744011,326,18.987807,72.836447
Kerala,TRIVENDRUM,1992,39.45,78.61666667,129.172979,344,8.5241,76.9366
Goa,VASCO,1992,8.588771447,18.21433976,40.79146704,108,15.3982,73.8113
Bihar,SINDRI,1992,32.76,40.5,40.79146704,108,23.7483,86.7059
Uttar Pradesh,DEHRADOON,1992,46.7,41,81.58293408,217,30.3165,78.0322
Odisha,TALCHER,1992,21.475,13.95833333,50.9893338,136,20.95,85.23
Gujarat,SURAT,1992,83.55,187.325,132.5722679,353,21.195944,72.830232
Madhya Pradesh,SATNA,1992,24.96666667,25.22222222,77.05054885,205,24.583333,80.833333
Madhya Pradesh,RAIPUR,1992,185.5333333,73.8,81.58293408,217,21.233333,81.633333
West Bengal,HALDIA,1992,24.77272727,59.77272727,81.58293408,217,22.025278,88.058333
Assam,GUWAHATI,1992,56.44902025,145.8024057,152.9680014,408,26.176076,91.762932
Andhra Pradesh,VISHAKHAPATNAM,1992,89.94656905,141.2016038,125.77369,335,17.704052,83.297663
Karnataka,MYSORE,1992,22.76,32.7,48.94976045,130,12.292664,76.638543
Odisha,NALCO,1992,10.42418414,15.07094351,40.79146704,108,20.8653,85.1842
Uttar Pradesh,KANPUR,1992,19.28,49.16192458,114.2161077,304,26.466667,80.35
